"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Endurance","Swim","","","","2025-01-10","","1800","","","","","0.50543305767907","0.982532751091703","","55","","","","","","0.979358181028011","47.48","","","","","","","","","","","","","","","","","","","","","",""
"Upper Body","Strength","","0.5","","2025-01-10","","","","","","","0.5","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"Easy - Maria Pace Partner","Bike","","1","","2025-01-10","","36025.0703125","166","362","611.978","","1.01805555820465","9.82900047302246","","82","","124","143","","","0.661794300283811","44.32","61","0","0","0","0","0","0","","","","15","38","8","0","0","0","","","","","",""
"Long Run","Run","or 155-165bpm","0.991388888888889","12000","2025-01-11","","12027.01953125","","","","","1.07179284095764","3.11700010299683","","163","","152","164","","","0.722723992357343","62.13","25","40","0","0","0","0","0","","","","","","","","","","","","","","",""
"Endurance Step Tests 10mins","Bike","","2.5","","2025-01-12","","81601.21875","167","590","1652.282","","2.74305558204651","8.26299953460693","","82","","125","150","","","0.694211717822593","131.49","159","6","0","0","0","0","0","","","","72","48","35","9","2","1","","","","","",""
"Really Easy - Miguel Pace Partner","Bike","","1","","2025-01-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","0.5","","2025-01-13","","0","","","","","0.540407180786133","0","","","","118","150","","","0.59805640565943","21.08","","","","","","","","","","","","","","","","","","","","","",""
"Technique","Swim","","0.5","1700","2025-01-13","","1700","","","","","0.491192223760817","0.955593029792018","","54","","","","","","0.951765881838647","42.35","","","","","","","","","","","","","","","","","","","","","",""
"25 min Threshold","Run","","0.758333333333333","10448","2025-01-14","","8950.990234375","","","","","0.795628607273102","3.125","","154","","154","178","","","0.742288774546957","48.28","21","6","14","7","0","0","0","","","","","","","","","","","","","","6","7"
"Threshold / v02","Swim","","0.5","","2025-01-15","","1600","","","","","0.45580694410536","0.970285021224985","","55","","","","","","0.965320966892276","41","","","","","","","","","","","","","","","","","","","","","",""
